cohort,image,nucleus_count,mean_area_px,median_area_px,std_area_px,mean_eccentricity,mean_solidity,density_per_megapixel,method
BRC,Image3.png,1079,83.57089898053754,80.0,20.59369794430582,0.5460502848208519,0.9481087739506112,3873.700838284658,stardist
BRC,Image4.png,783,96.70242656449552,89.0,28.65476152573005,0.5901135472803903,0.9471387149995052,2811.035918792296,stardist
BRC,Image5.png,56,222.41071428571428,186.5,131.60001313310215,0.7120568945216379,0.9454867232881732,201.044714498555,stardist
BRC,Image6.png,401,142.48877805486285,134.0,58.7770248662078,0.6854528746648767,0.947245456685774,1439.6237591771528,stardist
BRC,Image7.png,233,250.96995708154503,234.0,112.40574095467264,0.7059192589826951,0.9508569669110242,836.4896156814877,stardist
BRC,Image8.png,164,211.8231707317073,179.5,118.37981123071464,0.6867912538599871,0.9498255034777364,588.7738067457682,stardist
BRC,Image9.png,681,82.23935389133626,75.0,25.51553571594812,0.5598480449313376,0.9491376175655456,2444.847331669928,stardist
CRC,Image1.png,286,114.12937062937064,98.0,52.550149650359906,0.6680532557315432,0.9445261096776112,1026.7640776176202,stardist
CRC,Image10.png,361,145.85595567867037,116.0,96.80743815564186,0.6851108139556991,0.9430586664332844,1296.020391678185,stardist
CRC,Image2.png,383,152.36292428198433,132.0,86.87045896653781,0.6860265583964082,0.9470930180173268,1375.0022438026172,stardist
CRC,Image3.png,335,101.9641791044776,87.0,46.13153064714544,0.6711019026016908,0.945630012719912,1202.6782028038558,stardist
CRC,Image4.png,486,109.07407407407408,95.0,52.33823467913153,0.633070972802871,0.9464507254062284,1744.7809151124595,stardist
CRC,Image5.png,1173,84.04092071611254,81.0,19.03660125620054,0.5798975212515205,0.9491556177696766,4211.168751907232,stardist
CRC,Image6.png,311,118.7652733118971,100.0,62.46243539806767,0.6732144549567219,0.948166099280622,1116.516182304475,stardist
CRC,Image7.png,596,92.251677852349,77.0,58.70890320877028,0.5864433223396078,0.946817732995464,2139.690175734621,stardist
CRC,Image8.png,240,135.5,107.5,84.18610336629199,0.6864566231056914,0.9461340209439102,861.6202049938072,stardist
CRC,Image9.png,430,96.50232558139535,87.0,42.90003246256751,0.6111891170743619,0.948091125724988,1543.7362006139044,stardist
HCC,Image1.png,112,202.875,201.0,77.38968242878744,0.6975491130210398,0.951063451270709,402.08942899711,stardist
HCC,Image10.png,223,124.96860986547084,116.0,48.159338498515645,0.7792066988768456,0.9373520098929864,800.5887738067458,stardist
